,매장명,주소,전화번호,위도,경도
189,서강광흥창역,서울특별시 마포구 서강로 69 (창전동),1522-3232,37.549377,126.931661
190,합정,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",1522-3232,37.549630,126.912999
191,서강대흥역,서울특별시 마포구 백범로 89-5 (대흥동),1522-3232,37.548178,126.941576
192,서교동사거리,서울특별시 마포구 양화로 105 (서교동),1522-3232,37.553376,126.918564
193,상암사보이시티,서울특별시 마포구 월드컵북로54길 17 (상암동),1522-3232,37.581470,126.888983
194,신촌오거리,서울특별시 마포구 신촌로16길 10 (노고산동),1522-3232,37.555137,126.934694
195,상암디지털큐브,서울특별시 마포구 상암산로 34,1522-3232,37.5763132,126.8892477
196,상수역,서울특별시 마포구 독막로 88 (상수동),1522-3232,37.5474817,126.92321579999998
197,공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,1522-3232,37.5424641,126.95057730000008
198,서교,서울특별시 마포구 양화로 78 (서교동) 서교빌딩 1층,1522-3232,37.551385,126.9169208
199,서강대,서울특별시 마포구 백범로 23 (신수동),1522-3232,37.5524584,126.9378262
200,상암MBC,서울특별시 마포구 성암로 267 (상암동),1522-3232,37.581297,126.890908
201,홍대역,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",1522-3232,37.557175,126.923654
202,동교,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",1522-3232,37.556928,126.919819
203,애오개역,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",1522-3232,37.55218737,126.9555203
204,상암DMC,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",1522-3232,37.577623,126.890684
205,마포일진빌딩,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",1522-3232,37.54043451,126.9463168
206,마포아크로,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,1522-3232,37.54145556,126.948819
207,홍대삼거리,서울특별시 마포구 와우산로 64 (상수동),1522-3232,37.550266,126.923179
208,망원역,서울특별시 마포구 월드컵로 74 (서교동),1522-3232,37.555829,126.910637
209,마포이마트,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,1522-3232,37.542421,126.953341
210,합정메세나몰,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",1522-3232,37.551004,126.913848
211,홍대역8번출구,서울특별시 마포구 양화로 166 (동교동),1522-3232,37.556743503599,126.924166543608
212,가재울뉴타운,서울특별시 서대문구 가재울미래로 2 ,1522-3232,37.5749841,126.9164441
213,남가좌사거리,"서울특별시 서대문구 거북골로 84 (남가좌동, DMC에코자이104동)",1522-3232,37.577386,126.920815
214,신촌역,서울특별시 서대문구 신촌로 73 (창천동),1522-3232,37.556167,126.934673
215,연희동,서울특별시 서대문구 연희로 97 (연희동),1522-3232,37.566702,126.930475
216,아현역,"서울특별시 서대문구 신촌로35길 10 (북아현동, E편한세상신촌 4단지)",1522-3232,37.558421,126.956349
217,홍제역,서울특별시 서대문구 통일로 451 (홍제동),1522-3232,37.588658,126.943864
218,연세백양로,서울특별시 서대문구 연세로 50 (신촌동) 연세대학교,1522-3232,37.562644,126.937529
219,연희DT,서울특별시 서대문구 연희로 144 (연희동),1522-3232,37.5702143,126.9339777
220,경기대,서울특별시 서대문구 충정로 53 (충정로2가),1522-3232,37.56367995,126.9646045
221,신촌,서울특별시 서대문구 연세로 10-1 (창천동),1522-3232,37.55648577,126.9371155
222,이대R,서울특별시 서대문구 이화여대길 34 (대현동),1522-3232,37.55848315,126.9459643
223,연세종합관,"서울특별시 서대문구 연세로 50, 연세세브란스 종합관 (신촌동)",1522-3232,37.56177145,126.9414708
224,이대ECC,서울특별시 서대문구 이화여대길 52 (대현동) 이화여자대학교 B415호,1522-3232,37.561631,126.947350
225,연대,서울특별시 서대문구 연세로 35 (창천동),1522-3232,37.558706,126.936727
226,신촌아트레온,서울특별시 서대문구 신촌로 129 (창천동),1522-3232,37.556505,126.940238
227,충정로역,서울특별시 서대문구 충정로 23,1522-3232,37.56137,126.963219
228,연대동문,서울특별시 서대문구 성산로 565 (대신동),1522-3232,37.566385,126.946273
229,신촌명물거리,"서울특별시 서대문구 명물길 24, 1-5층 (창천동)",1522-3232,37.557796,126.938095
230,충정타워,"서울특별시 서대문구 서소문로 21, 충정타워빌딩 1층 (충정로3가)",1522-3232,37.559869,126.964110
231,현대신촌,서울특별시 서대문구 신촌로 83 (창천동),1522-3232,37.5560830579515,126.935844876509
232,방배로,서울특별시 서초구 방배로 52 (방배동),1522-3232,37.4793434,126.9994968
233,강남교보타워R,서울특별시 서초구 강남대로 465 (서초동),1522-3232,37.503789,127.024075
234,방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동),1522-3232,37.484329,126.995872
235,센트럴F1,서울특별시 서초구 신반포로 176 (반포동),1522-3232,37.505148,127.004395
236,서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동),1522-3232,37.487931,127.009126
237,서초구청,서울특별시 서초구 남부순환로 2557 (서초동),1522-3232,37.484206,127.030103
238,서초우성사거리,서울특별시 서초구 강남대로 343 (서초동),1522-3232,37.493545,127.029430
239,이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)",1522-3232,37.485850,126.983027
240,강남대로신사,서울특별시 서초구 강남대로 595 (잠원동),1522-3232,37.514890,127.019469
241,서울고속터미널,서울특별시 서초구 신반포로 194 (반포동),1522-3232,37.504406,127.005648
242,강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동),1522-3232,37.507413,127.022568
243,방배,서울특별시 서초구 방배로 211,1522-3232,37.491914,126.99049739999998
244,방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동),1522-3232,37.4934767,126.9865297
245,서초법원,서울특별시 서초구 서초대로 274 (서초동),1522-3232,37.492970,127.011875
246,청계산입구역,서울특별시 서초구 청계산로 203 (신원동),1522-3232,37.447323,127.056250
247,사당로데오,서울특별시 서초구 방배천로 5-4(방배동),1522-3232,37.4772752,126.98216049999996
248,파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY,1522-3232,37.5030521,127.004362
249,교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩,1522-3232,37.494207,127.01394
250,양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩,1522-3232,37.4820475,127.0367682
251,논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층,1522-3232,37.5111983,127.0205875
252,이수역,서울특별시 서초구 동작대로 112 (방배동),1522-3232,37.4864664,126.98274029999993
253,내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩,1522-3232,37.490004,126.992455
254,서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤,1522-3232,37.494941,127.027422
255,서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩,1522-3232,37.480866,127.012368
256,서초중앙로,서울특별시 서초구 서초중앙로 225,1522-3232,37.501691,127.01152
257,센트럴시티,서울특별시 서초구 신반포로 176 (반포동),1522-3232,37.504707,127.004459
258,강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동),1522-3232,37.49562035,127.0277144
259,방배역,서울특별시 서초구 방배로 84 (방배동),1522-3232,37.48200755,126.9976438
260,반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가,1522-3232,37.508589,127.011959
261,남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)",1522-3232,37.48467334,127.0169464
262,뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽,1522-3232,37.51031339,127.0069582
263,강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)",1522-3232,37.5000875,127.02549090000002
264,교대,서울특별시 서초구 서초중앙로 118 (서초동),1522-3232,37.4923611,127.0142207
265,하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)",1522-3232,37.46330766,127.0368447
266,신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩,1522-3232,37.50529,127.023636
267,영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)",1522-3232,37.48203954,127.0425748
268,남부터미널2,서울특별시 서초구 효령로 274 (서초동),1522-3232,37.48436736,127.0142192
269,서래마을입구,서울특별시 서초구 서래로 48 (반포동),1522-3232,37.49925284,126.9984801
270,몬테소리,서울특별시 서초구 강남대로 399 (서초동),1522-3232,37.4982695,127.026865
271,서초역,서울특별시 서초구 반포대로 118 (서초동),1522-3232,37.49067495,127.0086118
272,예술의전당,"서울특별시 서초구 남부순환로323길 1, 1층 (서초동)",1522-3232,37.48115265,127.0134724
273,교대법원,서울특별시 서초구 서초중앙로 164 (서초동),1522-3232,37.496329,127.013336
274,강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동)",1522-3232,37.498056,127.02583300000003
275,서초동,"서울특별시 서초구 남부순환로339길 64, 현우빌딩 1층 (서초동)",1522-3232,37.485941,127.021525
276,서울교대,"서울특별시 서초구 서초중앙로 64, 1층 (서초동)",1522-3232,37.487397,127.015134
277,강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동)",1522-3232,37.5027,127.023894
278,서이초교사거리,서울특별시 서초구 사임당로 143 (서초동),1522-3232,37.4918146,127.0252252
279,서울웨이브아트센터,서울특별시 서초구 잠원로 145-35 (잠원동),1522-3232,37.518807,127.007040
280,길음역,서울특별시 성북구 정릉로 376 (돈암동),1522-3232,37.602139,127.025271
281,미아이마트,서울특별시 성북구 도봉로 17 ,1522-3232,37.610678,127.029921
282,종암DT,서울특별시 성북구 종암로 17 (종암동),1522-3232,37.5919525,127.0360401
283,미아,서울특별시 성북구 동소문로 314 (하월곡동),1522-3232,37.607581,127.029303
284,성신여대정문,서울특별시 성북구 보문로34길 62 (동선동2가),1522-3232,37.590910,127.018800
285,종암,서울특별시 성북구 종암로 122 (종암동),1522-3232,37.601095,127.033847
286,삼선교,서울특별시 성북구 동소문로 10 (동소문동2가),1522-3232,37.588696,127.00732070000003
287,월곡역,"서울특별시 성북구 화랑로 76, 101-1호 (하월곡동)",1522-3232,37.601718,127.040446
288,고대,서울특별시 성북구 고려대로24길 51 (안암동5가),1522-3232,37.58397192,127.0297352
289,현대미아,서울특별시 성북구 동소문로 315 (길음동) 지하1층,1522-3232,37.60837822,127.0287483
290,성신여대,서울특별시 성북구 동소문로24길 12 (동선동1가),1522-3232,37.593135,127.018379
291,안암역,서울특별시 성북구 고려대로 102-2 (안암동5가),1522-3232,37.586319,127.030556
292,한성대입구역,서울특별시 성북구 성북로 11 (성북동1가),1522-3232,37.589054,127.004839
293,장위뉴타운,서울특별시 성북구 장월로38길 4 (장위동),1522-3232,37.6179568965998,127.051535709778
294,송파나루역DT,서울특별시 송파구 오금로 142 (송파동),1522-3232,37.510793,127.1102658
295,송파헬리오시티,"서울특별시 송파구 송파대로 345 (가락동, 헬리오시티)",1522-3232,37.4978563,127.1031325
296,잠실시그마타워,서울특별시 송파구 올림픽로 289 (신천동),1522-3232,37.514567,127.102493
297,문정법원로R,서울특별시 송파구 송파대로 201 (문정동),1522-3232,37.487447,127.119164
298,송파개롱역,서울특별시 송파구 오금로 420 (가락동),1522-3232,37.496956,127.13652
299,문정하비오,"서울특별시 송파구 송파대로 111 (문정동, 파크하비오) 204동 104호~107호",1522-3232,37.481925,127.123446
300,문정역,"서울특별시 송파구 송파대로 167 (문정동)테라타워 B동 137호~139호,204호",1522-3232,37.484813,127.122237
301,잠실대교남단R,서울특별시 송파구 송파대로 570 타워 730 1층,1522-3232,37.515511,127.099006
302,송파위례,"서울특별시 송파구 위례광장로 230 (장지동, 위례2차아이파크)",1522-3232,37.478264,127.144067
303,송파방이DT,서울특별시 송파구 오금로 241 (방이동),1522-3232,37.506564,127.120495
304,송파구청,서울특별시 송파구 오금로 87 (방이동),1522-3232,37.514573,127.107404
305,올림픽평화의문,서울특별시 송파구 위례성대로 38 (방이동) 해태그린피아빌라트,1522-3232,37.5156426,127.11648190000005
306,송파아이파크,서울특별시 송파구 법원로 55 (문정동),1522-3232,37.479892,127.122379
307,송파사거리,서울특별시 송파구 송파대로 386 (송파동),1522-3232,37.5022788,127.1103904
308,석촌서호,서울특별시 송파구 석촌호수로 176 (삼전동),1522-3232,37.5063929,127.0964684
309,문정로데오,서울특별시 송파구 동남로 141 (가락동),1522-3232,37.491905,127.1262696
310,올림픽훼미리,서울특별시 송파구 중대로 68 (문정동),1522-3232,37.491626,127.116308
311,올림픽공원남문,서울특별시 송파구 위례성대로 102 (방이동),1522-3232,37.5133,127.123113
312,방이역,"서울특별시 송파구 마천로 53, 1~2층 (오금동)",1522-3232,37.508666,127.126569
313,석촌호수,서울특별시 송파구 석촌호수로 262 (송파동),1522-3232,37.509581,127.104993
314,잠실푸르지오월드,"서울특별시 송파구 올림픽로35가길 9, 잠실푸르지오월드마크 1층 (신천동)",1522-3232,37.517649,127.103426
315,잠실새내역,서울특별시 송파구 올림픽로 96 (잠실동),1522-3232,37.511679,127.081062
316,잠실역,"서울특별시 송파구 송파대로 562 (신천동, 웰리스타워,삼성웰리스아파트) 1층,2층",1522-3232,37.515272,127.099231
317,갤러리아팰리스,"서울특별시 송파구 올림픽로 212, 갤러리아 팰리스 (잠실동)",1522-3232,37.51108365,127.0938059
318,아시아선수촌,서울특별시 송파구 백제고분로 69 (잠실동),1522-3232,37.510590,127.079047
319,올림픽아파트,서울특별시 송파구 양재대로 1222 (방이동),1522-3232,37.515315,127.133237
320,가락본동,서울특별시 송파구 송파대로30길 13 (가락동),1522-3232,37.494895,127.118785
321,석촌역,"서울특별시 송파구 백제고분로 358, 1층 (석촌동)",1522-3232,37.5042626,127.10610769999994
322,가락시장역,"서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동)",1522-3232,37.494299,127.121354
323,가든파이브,서울특별시 송파구 충민로 10 (문정동) 가든파이브툴,1522-3232,37.4782316,127.11937030000001
324,송파NC,서울특별시 송파구 충민로 66 (문정동)  가든파이브라이프 패션관1층,1522-3232,37.4778761,127.12567478
325,몽촌토성역,서울특별시 송파구 위례성대로 6 ,1522-3232,37.516913,127.113127
326,송파KT,"서울특별시 송파구 잠실로 209 (신천동), 오피스빌딩 1층 2~4호",1522-3232,37.5139991,127.1063026
327,송파마천사거리DT,서울특별시 송파구 거마로 78 (마천동),1522-3232,37.499829,127.147672
328,목동파리공원,서울특별시 양천구 목동동로 377 (목동),1522-3232,37.535336,126.878852
329,등촌역,서울특별시 양천구 공항대로 566 (목동) 1층 2층,1522-3232,37.548884,126.868070
330,목동행복한,서울특별시 양천구 목동동로 309 (목동),1522-3232,37.529147,126.876099
331,신정DT,서울특별시 양천구 신월로 341 (신정동),1522-3232,37.521993,126.858865
332,목동역,서울특별시 양천구 목동로 203 (신정동) 1층일부,1522-3232,37.526684,126.863986
333,목동오목로,"서울특별시 양천구 오목로 279 (목동) 102,103,104,105호",1522-3232,37.525923,126.868438
334,목동8단지,서울특별시 양천구 목동서로 299 (신정동),1522-3232,37.520518,126.868841
335,오목교역,서울특별시 양천구 오목로 354 (목동),1522-3232,37.5235882,126.87652120000007
336,신월IC DT,서울특별시 양천구 남부순환로 430 (신월동),1522-3232,37.5294984,126.831983
337,목동7단지,서울특별시 양천구 목동서로 213 (목동) 세신비젼프라자,1522-3232,37.528012,126.87053
338,목동5단지,"서울특별시 양천구 목동동로 411, 1동 116호(목동, 부영그린타운3차)",1522-3232,37.536706,126.88212
339,목동,서울특별시 양천구 목동서로 67 (목동) 우성에펠타운,1522-3232,37.53638383,126.8785597
340,현대목동,"서울특별시 양천구 목동동로 257 (목동, 현대하이페리온) 지하2층",1522-3232,37.526848,126.875023
341,목동파라곤,"서울특별시 양천구 목동서로 155, 목동파라곤 1층 (목동)",1522-3232,37.52947,126.874996
342,목동트라팰리스,서울특별시 양천구 오목로 299 (목동),1522-3232,37.5255,126.8702
343,목동10단지,"서울특별시 양천구 목동서로 401 (신정동, 대림아크로빌), 상가A동 101,101-1호",1522-3232,37.515425616177,126.859603067999
344,신월동DT,서울특별시 양천구 남부순환로 319 (신월동),1522-3232,37.5382923530559,126.827101409243
345,타임스퀘어R,서울특별시 영등포구 영중로 15 지하 1층 (영등포동4가),1522-3232,37.51755,126.90516
346,샛강역,서울특별시 영등포구 여의대방로 376 (여의도동),1522-3232,37.5183551,126.9312716
347,영등포역,서울특별시 영등포구 경인로 870 (영등포동1가),1522-3232,37.5169614,126.9091390
348,당산대로,서울특별시 영등포구 양평로 22 (당산동6가),1522-3232,37.533121,126.903804
349,여의도IFC몰(L1)R,서울특별시 영등포구 국제금융로 10 (여의도동)  지하1층 178호,1522-3232,37.525127,126.925508
350,여의도KBS R,서울특별시 영등포구 의사당대로 26 (여의도동),1522-3232,37.526596,126.918456
351,여의도화재보험,서울특별시 영등포구 국제금융로6길 38 (여의도동),1522-3232,37.521345,126.926004
352,국회대로,서울특별시 영등포구 국회대로 786 (여의도동),1522-3232,37.530260,126.919549
353,영등포KT,서울특별시 영등포구 영중로 119 (영등포동8가),1522-3232,37.526419,126.905314
354,여의도공원R,서울특별시 영등포구 여의공원로 101 (여의도동),1522-3232,37.529231,126.924872
355,국회의사당역,서울특별시 영등포구 의사당대로 8 (여의도동),1522-3232,37.527831,126.916882
356,선유도역,서울특별시 영등포구 양평로 115 (양평동4가),1522-3232,37.537268,126.894594
357,여의도역R,서울특별시 영등포구 의사당대로 83 (여의도동) 1층,1522-3232,37.523328,126.923439
358,선유동이레빌딩,서울특별시 영등포구 선유동2로 57 (양평제1동) 이레빌딩,1522-3232,37.534109,126.896912
359,동여의도,서울특별시 영등포구 국제금융로 86 (여의도동) 롯데캐슬 아이비,1522-3232,37.5199494,126.9317957
360,여의도ABL타워,서울특별시 영등포구 의사당대로 147 (여의도동) 알리안츠타워,1522-3232,37.518749,126.92779
361,영등포신길,"서울특별시 영등포구 신길로 137 (신길동) 1,2층",1522-3232,37.504566,126.910073
362,문래역,서울특별시 영등포구 당산로 34 (문래동3가),1522-3232,37.517446,126.895258
363,당산,서울특별시 영등포구 양평로 64 (당산동6가),1522-3232,37.535164,126.899942
364,여의도한양증권,서울특별시 영등포구 국제금융로6길 7 (여의도동) 한양증권,1522-3232,37.522418,126.929093
365,여의도일신,서울특별시 영등포구 은행로 11 (여의도동) 1층 1부,1522-3232,37.528,126.920103
366,신세계타임스퀘어B2,"서울특별시 영등포구 영중로 9, 신세계타임스퀘어점 리빙관 지하2층 (영등포동4가)",1522-3232,37.517162,126.905608
367,하이테크시티,서울특별시 영등포구 경인로 775 (문래동3가) 에이스하이테크시티,1522-3232,37.51467062,126.8986474
368,여의도,서울특별시 영등포구 국제금융로2길 28 (여의도동),1522-3232,37.52403519,126.9245179
369,롯데캐슬여의도,"서울특별시 영등포구 의사당대로 127 (여의도동, 롯데캐슬엠파이어) 1층 104호",1522-3232,37.52025214,126.9263678
370,문래동,"서울특별시 영등포구 선유로 64, 대창타운빌 1층 (문래동3가)",1522-3232,37.519602,126.889652
371,신세계타임스퀘어1F,"서울특별시 영등포구 영중로 9, 신세계백화점 리빙관 1층 (영등포동4가)",1522-3232,37.517162,126.905608
372,여의도호성,"서울특별시 영등포구 여의대방로65길 24, 호성빌딩 1층 (여의도동)",1522-3232,37.520176,126.929426
373,타임스퀘어B2,"서울특별시 영등포구 영중로 15, 지하2층 (영등포동4가)",1522-3232,37.516985,126.903387
374,영등포본동,서울특별시 영등포구 영등포로 254 (영등포동3가),1522-3232,37.518713,126.909559
